first_name,last_name,age_2021,league,team,games,mpg,ppg,apg,rpg,spg,bpg,efficiency,true_shooting_percentage,fg_pct,three_pt_pct,ft_pct,has_nba_exp,scout_score,ppg_change,seasons_played,nba_success_prob
batista,shoutvin,23,EuroCup,Fighting Irish,11,23.74909090909091,14.727272727272727,4.181818181818182,1.8181818181818181,0.7272727272727273,0.0,14.0,0.6451,0.6164383561643836,0.3548387096774194,0.7959183673469388,False,108.37641866556191,6.885167464114832,2.0,0.23373830008118965
la torre,mccaskill,25,EuroCup,RedHawks,10,26.293,17.9,2.8,5.3,1.0,0.1,19.6,0.6847,0.5512820512820513,0.52,0.8571428571428571,False,107.30118893507905,,,0.02944711960579072
farley,atkins,24,EuroCup,Chippewas,11,33.85,15.272727272727273,2.8181818181818183,5.545454545454546,1.9090909090909092,0.36363636363636365,17.818181818181817,0.6438,0.5588235294117647,0.4318181818181818,0.8333333333333334,False,96.87656349005748,,,0.040476721005380446
poythress,wigginton,25,Italy - Liga A,Mustangs,19,32.26315789473684,18.526315789473685,1.631578947368421,4.157894736842105,0.631578947368421,0.3684210526315789,17.157894736842106,0.6488,0.5480769230769231,0.44285714285714284,0.8387096774193549,False,94.24508207283749,,,0.09511789174721864
gaffney,bozeman,24,Italy - Liga A,Seminoles,18,31.166666666666668,13.11111111111111,3.6666666666666665,6.611111111111111,1.2222222222222223,0.7777777777777778,18.11111111111111,0.592,0.5714285714285714,0.3488372093023256,0.7358490566037735,False,91.54380659659259,,,0.012938518088873389
sundiata,ladurner,29,Spain - ACB,Redhawks,20,24.291999999999998,10.3,1.1,8.2,1.05,2.2,18.6,0.7187,0.711864406779661,0.5,0.660377358490566,True,90.81310605830862,8.8,12.0,0.017648807763108967
xabi,nwaba,27,Italy - Liga A,Bisons,17,28.0,16.941176470588236,1.2352941176470589,7.411764705882353,0.7647058823529411,0.35294117647058826,17.88235294117647,0.598,0.583732057416268,0.0,0.6285714285714286,False,90.47926265813656,3.0245098039215694,2.0,0.009479204775795828
efthimios,laprovittola,27,EuroCup,Scarlet Knights,12,26.325,13.083333333333334,4.5,3.9166666666666665,1.6666666666666667,0.08333333333333333,15.083333333333334,0.5883,0.5476190476190477,0.39473684210526316,0.7692307692307693,False,90.08360876245966,7.333333333333334,3.0,0.009827356525619581
bowdler,perez,27,Italy - Liga A,Black Bears,17,22.705882352941178,16.11764705882353,1.0,7.0588235294117645,0.47058823529411764,0.47058823529411764,19.0,0.6746,0.5857142857142857,0.4444444444444444,0.9024390243902439,False,89.85422050018238,-5.799465240641711,2.0,0.15721365934705825
marcin,watt,25,Italy - Liga A,,10,27.2,12.4,3.1,8.9,1.7,1.1,19.1,0.5601,0.5520833333333334,,0.5625,False,89.21525879850988,,,0.010190720454011249
arnoldas,jacobsen,29,EuroCup,Phoenix,14,27.739285714285717,16.571428571428573,5.928571428571429,2.9285714285714284,1.3571428571428572,0.07142857142857142,19.214285714285715,0.6339,0.5913978494623656,0.4117647058823529,0.76,False,87.04367486664528,,,0.006648922993284843
brodziansky,hancock,28,Italy - Liga A,Paladins,15,30.866666666666667,19.066666666666666,4.066666666666666,4.4,1.3333333333333333,0.13333333333333333,18.4,0.6082,0.4838709677419355,0.36363636363636365,0.8979591836734694,False,86.25843044123616,,,0.009886893463247493
kleiza,maric,25,EuroLeague,Nittany Lions,25,27.8188,14.88,4.08,2.92,1.24,0.24,12.08,0.5017,0.47126436781609193,0.30666666666666664,0.7215189873417721,True,84.6725420257274,9.421666666666667,2.0,0.015131855859215827
daval-braquet,huffman,26,EuroLeague,Blue Demons,10,25.852999999999998,12.2,3.5,3.7,0.9,0.3,14.1,0.6416,0.5813953488372093,0.4489795918367347,0.8571428571428571,True,84.56302890640579,5.116666666666666,5.0,0.058231443829712085
de'aaron,bluiett,24,EuroLeague,Bison,21,23.784761904761904,9.571428571428571,1.2857142857142858,6.190476190476191,0.38095238095238093,1.9523809523809523,15.857142857142858,0.672,0.6742424242424242,0.14285714285714285,0.8333333333333334,True,84.33722990442725,8.071428571428571,4.0,0.01340289159211824
jarrod,petrucelli,26,Italy - Liga A,Seminoles,18,31.61111111111111,13.0,6.111111111111111,4.055555555555555,1.7222222222222223,0.0,16.166666666666668,0.604,0.417910447761194,0.40404040404040403,0.9206349206349206,False,84.15873166725629,,,0.015376331017783823
caicedo,handlogten,23,Italy - Liga A,,15,30.0,12.533333333333333,5.0,4.6,0.9333333333333333,0.13333333333333333,13.666666666666666,0.531,0.5,0.32142857142857145,0.7674418604651163,False,82.10928632033846,,,0.011487753487221348
yante,queeley,23,Italy - Liga A,Pride,16,29.375,12.875,0.9375,7.25,0.4375,0.0,14.25,0.641,0.4666666666666667,0.42028985507246375,0.875,False,81.79807747215345,,,0.04004532237348293
luol,palumbo,26,Italy - Liga A,Paladins,17,29.705882352941178,14.235294117647058,5.411764705882353,2.764705882352941,1.1764705882352942,0.5294117647058824,16.352941176470587,0.5947,0.6016260162601627,0.3225806451612903,0.8095238095238095,False,80.64435856208023,,,0.03346660581863053
lionel,kuric,27,Italy - Liga A,Horned Frogs,19,32.68421052631579,15.736842105263158,4.421052631578948,3.3684210526315788,0.9473684210526315,0.05263157894736842,14.368421052631579,0.5877,0.488,0.42727272727272725,0.8181818181818182,False,80.31642806542273,,,0.15827265868260662
lauvergne,van,28,EuroLeague,Delta Devils,20,27.740499999999997,17.05,3.1,3.4,1.25,0.25,14.45,0.5529,0.5102040816326531,0.29838709677419356,0.9411764705882353,False,80.28867840599175,5.93888888888889,3.0,0.009669360034698898
goldwire,gai,26,Spain - ACB,Dolphins,20,28.467000000000002,17.7,3.6,2.5,1.6,0.0,14.55,0.6086,0.5725806451612904,0.3305084745762712,0.8558558558558559,False,79.34376236098639,,,0.010080470915029128
wilks,dee,26,EuroLeague,Gators,24,23.6575,12.25,1.5833333333333333,3.875,0.375,0.041666666666666664,13.333333333333334,0.6854,0.6190476190476191,0.45535714285714285,0.8809523809523809,True,78.36951480265215,6.972222222222222,4.0,0.14974232191347445
shake,dimec,29,EuroCup,Rams,14,30.13714285714286,13.214285714285714,2.0,4.785714285714286,0.42857142857142855,0.5714285714285714,12.357142857142858,0.5907,0.45569620253164556,0.43333333333333335,0.875,True,77.55102280318691,13.214285714285714,4.0,0.6172200049753521
theis,wagner,24,Spain - ACB,Fighting Irish,20,24.9605,13.35,0.65,4.95,1.2,0.0,15.1,0.7001,0.573170731707317,0.44155844155844154,0.9861111111111112,False,77.44811655991072,-1.8954545454545446,2.0,0.0501931085497705
oleksiy,dime,29,EuroLeague,Broncos,17,27.384117647058822,14.823529411764707,4.352941176470588,2.8823529411764706,1.7647058823529411,0.17647058823529413,15.117647058823529,0.5893,0.4936708860759494,0.375,0.8142857142857143,True,76.92618519962919,1.762923351158646,5.0,0.03048913655628204
luke,balbi,28,EuroLeague,Buffaloes,23,28.113478260869567,15.652173913043478,4.217391304347826,2.4782608695652173,1.391304347826087,0.043478260869565216,13.0,0.5522,0.5,0.32786885245901637,0.8809523809523809,False,76.36339449148637,5.4021739130434785,6.0,0.011424280198396366
bargnani,turiaf,27,Italy - Liga A,Black Bears,16,24.6875,14.125,3.1875,3.5,1.0625,0.25,16.3125,0.6511,0.6666666666666666,0.3389830508474576,0.8571428571428571,False,76.2759390270284,-1.029761904761905,2.0,0.02574785353519949
quinn,freeland,28,Italy - Liga A,Purple Eagles,17,26.0,14.823529411764707,2.7058823529411766,4.0,0.9411764705882353,0.0,14.176470588235293,0.5904,0.5405405405405406,0.3684210526315789,0.8,False,76.0794859726567,4.109243697478993,2.0,0.2271674031057143
rion,jennings,25,EuroCup,Bobcats,12,26.772499999999997,12.666666666666666,1.3333333333333333,6.916666666666667,2.1666666666666665,0.75,15.583333333333334,0.5407,0.5238095238095238,0.34328358208955223,0.7083333333333334,True,75.47975012813036,,,0.011876430708518418
